id,inter_code,name,categ_id:id,uom_id:id,uom_po_id:id,type
wz1114,014,膨胀水箱,wzfl154,jldw8,jldw8,product
wz1115,015,水泵轴卡簧,wzfl154,jldw8,jldw8,product
wz1116,016,水泵石墨水封,wzfl154,jldw8,jldw8,product
wz1117,001,增压器总成,wzfl157,jldw8,jldw8,product
wz1118,002,增压器进油管,wzfl157,jldw10,jldw10,product
wz1119,001,YC4110发动机总成,wzfl159,jldw8,jldw8,product
wz1120,001,气缸体,wzfl160,jldw8,jldw8,product
wz1121,002,发动机前支架胶垫,wzfl160,jldw8,jldw8,product
wz1122,003,发动机后支架胶垫,wzfl160,jldw8,jldw8,product
wz1124,005,气缸套（成品）,wzfl160,jldw8,jldw8,product
wz1125,006,油底壳,wzfl160,jldw8,jldw8,product
wz1126,007,飞轮壳,wzfl160,jldw8,jldw8,product
wz1129,010,齿轮室盖垫,wzfl160,jldw8,jldw8,product
wz1131,012,油底壳放油螺丝,wzfl160,jldw8,jldw8,product
wz1132,001,气缸床,wzfl161,jldw31,jldw31,product
wz1133,002,气缸盖总成,wzfl161,jldw8,jldw8,product
wz1134,003,气缸盖,wzfl161,jldw8,jldw8,product
wz1135,004,缸盖罩,wzfl161,jldw8,jldw8,product
wz1136,005,缸盖罩密封圈,wzfl161,jldw8,jldw8,product
wz1137,006,气门室盖垫,wzfl161,jldw8,jldw8,product
wz1139,008,曲轴箱通风管空气滤清器,wzfl161,jldw8,jldw8,product
wz1140,009,缸盖螺丝,wzfl161,jldw8,jldw8,product
wz1142,001,飞轮盘总成,wzfl162,jldw8,jldw8,product
wz1143,002,飞轮,wzfl162,jldw8,jldw8,product
