id,code,name,parent_id:id
wzfl1405,1500,通用螺母,wzfl1312
wzfl1407,1700,通用弹簧垫,wzfl1324
wzfl1409,1800,通用平垫,wzfl1325
wzfl1411,1900,通用开口销,wzfl1326
wzfl1413,2000,通用键销,wzfl1327
wzfl1415,2100,通用铝材,wzfl1328
wzfl1417,2200,通用木材,wzfl1329
wzfl1419,2300,通用蓄电池,wzfl1330
wzfl1421,2400,通用钢材,wzfl1331
wzfl1423,2500,通用铜材,wzfl1332
wzfl1425,2600,化工,wzfl1333
wzfl1427,2700,油漆,wzfl1334
wzfl1429,2800,设备,wzfl1335
wzfl1435,3143,CFC6100GDP车身,wzfl1338
wzfl1436,3241,CFC6100GD3车身,wzfl1351
wzfl1439,3242,CJ 6100GIQIYH车身,wzfl1351
wzfl1440,3243,CFC6100GDP车身,wzfl1351
wzfl1441,3244,DD6101HS车身,wzfl1351
wzfl1442,3245,DD6103HSC车身,wzfl1351
wzfl1443,3246,GZK6100AD车身,wzfl1351
wzfl1444,3247,WG6800-3车身,wzfl1351
wzfl1445,3248,WG6800E-4车身,wzfl1351
wzfl1446,3249,WG6800E-1车身,wzfl1351
wzfl1447,3250,CK2643,wzfl1351
wzfl1448,3251,CKZ6965车身,wzfl1351
wzfl1449,3252,柳微车身,wzfl1351
wzfl1450,3253,牡丹MD6602AD5  车身,wzfl1351
wzfl1451,3254,其它车身,wzfl1351
wzfl1452,3255,依维柯CJ6830G5C2HK车身,wzfl1351
wzfl1453,3256,CJ6100G2C10HK(EQ153),wzfl1351
wzfl1454,3257,CJ6108G1C2HK(4110ZQ),wzfl1351
wzfl1455,3258,DD6111HS车身,wzfl1351
wzfl1456,3259,长江CJ6830G5C2HK车身,wzfl1351
wzfl1457,3260,依维柯CJ6101G5C13H车身,wzfl1351
wzfl1458,3300,铆钉,wzfl1352
wzfl1460,3400,垫子,wzfl1353
wzfl1462,3500,机加工件,wzfl1354
wzfl1464,3600,冲压件,wzfl1355
wzfl1468,0100,发动机通用件,wzfl1
wzfl1487,0200,底盘通用,wzfl218
wzfl1498,0300,通用电器,wzfl439
wzfl1508,0400,车厢通用,wzfl660
wzfl1514,0241,牡丹MD6602AD5,wzfl218
wzfl1526,0800,通用胶条,wzfl1192
wzfl1528,0804,侧窗泥槽,wzfl1192
wzfl1529,0900,通用玻璃,wzfl1193
wzfl1531,3200,通用门泵,wzfl1351
wzfl1537,0461,DD6105（10米）车身,wzfl660
wzfl1540,0462,DD6890车身,wzfl660
wzfl1544,3261,DD6105门泵,wzfl1351
wzfl1549,0383,DD6890S01,wzfl439
wzfl1550,0384,DD6105S01,wzfl439
wzfl1582,0242,DD6890SO1-CA151D4底盘,wzfl218
wzfl1601,0243,DD6105SO1-EQ153底盘,wzfl218
wzfl1631,0385,运钞车LQG5041XYC,wzfl439
wzfl1636,,新类别,wzfl1192
wzfl1637,0861,DD6105S01车身,wzfl1192
wzfl1638,0862,DD6890S01车身,wzfl1192
wzfl1640,0961,DD6105S01,wzfl1193
wzfl1641,0962,DD6890S01/08,wzfl1193
wzfl1651,1206,车刀,wzfl1285
wzfl1671,,轮胎,wzfl1668
wzfl1672,,胎垫,wzfl1668
wzfl1673,,内胎,wzfl1668
wzfl1683,3262,DD6890门泵,wzfl1351
wzfl1692,0119,CY4112,wzfl1
wzfl1715,0120,YC6105ZQ,wzfl1
wzfl1728,0245,双层巴士,wzfl218
wzfl1803,0246,DD6109S31/32,wzfl218
wzfl1816,0247,苏州金龙KLQ6850GE3,wzfl218
wzfl1829,0386,苏州金龙KLQ6850GE3,wzfl439
wzfl1838,0387,DD6109S31/32,wzfl439
wzfl1845,0463,DD6109S31/32,wzfl660
wzfl1850,0121,YC6J220-30,wzfl1
wzfl1851,0122,YC4G180-30,wzfl1
wzfl1874,0464,苏州金龙,wzfl660
wzfl1879,0248,厦门金龙XMQ6106G10,wzfl218
wzfl1890,0963,长江CJ6101G7C13H,wzfl1193
wzfl1891,0964,金龙KLQ6108GE3,wzfl1193
wzfl1892,0965,苏州金龙KLQ6850GE3,wzfl1193
wzfl1893,0966,双层长江CJ6110SLC,wzfl1193
wzfl1894,0967,黄海DD6109S31/32,wzfl1193
wzfl1895,0968,金龙KLQ6770,wzfl1193
wzfl1896,0969,大黄蜂CFC6101G5C13H,wzfl1193
wzfl1897,0970,海格KLQ6109G,wzfl1193
wzfl1898,0971,宇通ZK6108HGC,wzfl1193
wzfl1899,0388,宇通ZK6108HGC,wzfl439
wzfl1907,0972,厦门金龙XMQ6106G10,wzfl1193
wzfl1908,0123,YC6J240-30,wzfl1
wzfl1919,0124,YC6J230-30,wzfl1
wzfl1930,0389,厦门金龙,wzfl439
wzfl1938,,美孚润滑油,wzfl1665
wzfl1939,,BP润滑油,wzfl1665
wzfl1940,0390,安凯HFF6104GK39,wzfl439
wzfl1949,,机油,wzfl1665
wzfl1950,,黄油,wzfl1665
wzfl1951,3263,苏州金龙,wzfl1351
wzfl1952,0249,安凯,wzfl218
wzfl1981,0638,EQ140-2发动机,wzfl804
wzfl1987,3100,其他,wzfl1338
wzfl1990,0639,苏州金龙,wzfl804
wzfl2003,3264,DD6109S32,wzfl1351
wzfl2005,0391,苏州金龙6109G,wzfl439
wzfl2014,3265,厦门金龙,wzfl1351
wzfl2016,0250,宇通ZK6108,wzfl218
wzfl2030,0251,苏州金龙KLQ6108GE3,wzfl218
wzfl2044,0125,YC4F,wzfl1
wzfl2056,0465,郑州宇通,wzfl660
wzfl2064,0466,厦门金龙,wzfl660
wzfl2069,0467,安凯,wzfl660
wzfl2073,0863,苏州金龙,wzfl1192
wzfl2074,3266,郑州宇通,wzfl1351
wzfl2075,1401,车载电子设备,wzfl1311
wzfl2076,0392,丹东,wzfl439
wzfl2088,0130,YC6J220-42,wzfl1
wzfl3,010101,发动机总成,wzfl2
wzfl4,010102,气缸体,wzfl2
wzfl5,010103,气缸盖总成,wzfl2
wzfl6,010104,曲轴连杆机构,wzfl2
wzfl7,010105,配气机构,wzfl2
wzfl8,010106,供油系,wzfl2
wzfl9,010107,润滑系,wzfl2
wzfl10,010108,冷却系,wzfl2
wzfl11,010109,油门联动机构,wzfl2
wzfl12,010110,点火系,wzfl2
wzfl13,010111,增压器总成,wzfl2
wzfl15,010201,发动机总成,wzfl14
wzfl16,010202,气缸体,wzfl14
wzfl17,010203,气缸盖总成,wzfl14
wzfl18,010204,曲轴连杆机构,wzfl14
wzfl19,010205,配气机构,wzfl14
wzfl20,010206,供油系,wzfl14
wzfl21,010207,润滑系,wzfl14
wzfl22,010208,冷却系,wzfl14
wzfl23,010209,油门联动机构,wzfl14
wzfl24,010210,点火系,wzfl14
wzfl25,010211,增压器总成,wzfl14
wzfl27,010301,发动机总成,wzfl26
wzfl28,010302,气缸体,wzfl26
wzfl29,010303,气缸盖总成,wzfl26
wzfl30,010304,曲轴连杆机构,wzfl26
wzfl31,010305,配气机构,wzfl26
wzfl32,010306,供油系,wzfl26
wzfl33,010307,润滑系,wzfl26
wzfl34,010308,冷却系,wzfl26
wzfl35,010309,油门联动机构,wzfl26
wzfl36,010310,点火系,wzfl26
wzfl37,010311,增压器总成,wzfl26
wzfl39,010401,发动机总成,wzfl38
wzfl40,010402,气缸体,wzfl38
wzfl41,010403,气缸盖总成,wzfl38
wzfl42,010404,曲轴连杆机构,wzfl38
wzfl43,010405,配气机构,wzfl38
wzfl44,010406,供油系,wzfl38
wzfl45,010407,润滑系,wzfl38
wzfl46,010408,冷却系,wzfl38
wzfl47,010409,油门联动机构,wzfl38
wzfl48,010410,点火系,wzfl38
wzfl49,010411,增压器总成,wzfl38
wzfl51,010501,发动机总成,wzfl50
wzfl52,010502,气缸体,wzfl50
wzfl53,010503,气缸盖总成,wzfl50
wzfl54,010504,曲轴连杆机构,wzfl50
wzfl55,010505,配气机构,wzfl50
wzfl56,010506,供油系,wzfl50
wzfl57,010507,润滑系,wzfl50
wzfl58,010508,冷却系,wzfl50
wzfl59,010509,油门联动机构,wzfl50
wzfl60,010510,点火系,wzfl50
wzfl61,010511,增压器总成,wzfl50
wzfl63,010601,发动机总成,wzfl62
wzfl64,010602,气缸体,wzfl62
wzfl65,010603,气缸盖总成,wzfl62
wzfl66,010604,曲轴连杆机构,wzfl62
wzfl67,010605,配气机构,wzfl62
wzfl68,010606,供油系,wzfl62
wzfl69,010607,润滑系,wzfl62
wzfl70,010608,冷却系,wzfl62
wzfl71,010609,油门联动机构,wzfl62
wzfl72,010610,点火系,wzfl62
wzfl73,010611,增压器总成,wzfl62
wzfl75,010701,发动机总成,wzfl74
wzfl76,010702,气缸体,wzfl74
wzfl77,010703,气缸盖总成,wzfl74
wzfl78,010704,曲轴连杆机构,wzfl74
wzfl79,010705,配气机构,wzfl74
wzfl80,010706,供油系,wzfl74
wzfl81,010707,润滑系,wzfl74
wzfl82,010708,冷却系,wzfl74
wzfl83,010709,油门联动机构,wzfl74
wzfl84,010710,点火系,wzfl74
wzfl87,010801,发动机总成,wzfl86
wzfl88,010802,气缸体,wzfl86
wzfl89,010803,气缸盖总成,wzfl86
wzfl90,010804,曲轴连杆机构,wzfl86
wzfl91,010805,配气机构,wzfl86
wzfl92,010806,供油系,wzfl86
wzfl93,010807,润滑系,wzfl86
wzfl94,010808,冷却系,wzfl86
wzfl95,010809,油门联动机构,wzfl86
wzfl96,010810,点火系,wzfl86
wzfl97,010811,增压器总成,wzfl86
wzfl99,010901,发动机总成,wzfl98
wzfl100,010902,气缸体,wzfl98
wzfl101,010903,气缸盖总成,wzfl98
wzfl102,010904,曲轴连杆机构,wzfl98
wzfl103,010905,配气机构,wzfl98
wzfl104,010906,供油系,wzfl98
wzfl105,010907,润滑系,wzfl98
wzfl106,010908,冷却系,wzfl98
wzfl107,010909,油门联动机构,wzfl98
wzfl108,010910,点火系,wzfl98
wzfl109,010911,增压器总成,wzfl98
wzfl111,011001,发动机总成,wzfl110
wzfl112,011002,气缸体,wzfl110
wzfl113,011003,气缸盖总成,wzfl110
wzfl114,011004,曲轴连杆机构,wzfl110
wzfl115,011005,配气机构,wzfl110
wzfl116,011006,供油系,wzfl110
wzfl117,011007,润滑系,wzfl110
wzfl118,011008,冷却系,wzfl110
wzfl119,011009,油门联动机构,wzfl110
wzfl120,011010,点火系,wzfl110
wzfl121,011011,增压器总成,wzfl110
wzfl123,011101,发动机总成,wzfl122
wzfl124,011102,气缸体,wzfl122
wzfl125,011103,气缸盖总成,wzfl122
wzfl126,011104,曲轴连杆机构,wzfl122
wzfl127,011105,配气机构,wzfl122
wzfl128,011106,供油系,wzfl122
wzfl129,011107,润滑系,wzfl122
wzfl130,011108,冷却系,wzfl122
wzfl131,011109,油门联动机构,wzfl122
wzfl132,011110,点火系,wzfl122
wzfl133,011111,增压器总成,wzfl122
wzfl134,0112,6110B4发动机,wzfl146
wzfl147,011301,发动机总成,wzfl146
wzfl148,011302,气缸体,wzfl146
wzfl149,011303,气缸盖总成,wzfl146
wzfl150,011304,曲轴连杆机构,wzfl146
wzfl151,011305,配气机构,wzfl146
wzfl152,011306,供油系,wzfl146
wzfl153,011307,润滑系,wzfl146
wzfl154,011308,冷却系,wzfl146
wzfl155,011309,油门联动机构,wzfl146
wzfl156,011310,点火系,wzfl146
wzfl157,011311,增压器总成,wzfl146
wzfl159,011401,发动机总成,wzfl158
wzfl160,011402,气缸体,wzfl158
wzfl161,011403,气缸盖总成,wzfl158
wzfl162,011404,曲轴连杆机构,wzfl158
wzfl163,011405,配气机构,wzfl158
wzfl164,011406,供油系,wzfl158
wzfl165,011407,润滑系,wzfl158
wzfl166,011408,冷却系,wzfl158
wzfl167,011409,油门联动机构,wzfl158
wzfl168,011410,点火系,wzfl158
wzfl169,011411,增压器总成,wzfl158
wzfl171,011501,发动机总成,wzfl170
wzfl172,011502,气缸体,wzfl170
wzfl173,011503,气缸盖总成,wzfl170
wzfl174,011504,曲轴连杆机构,wzfl170
wzfl175,011505,配气机构,wzfl170
wzfl176,011506,供油系,wzfl170
wzfl177,011507,润滑系,wzfl170
wzfl178,011508,冷却系,wzfl170
wzfl179,011509,油门联动机构,wzfl170
wzfl180,011510,点火系,wzfl170
wzfl181,011511,增压器总成,wzfl170
wzfl183,011601,发动机总成,wzfl182
wzfl184,011602,气缸体,wzfl182
wzfl185,011603,气缸盖总成,wzfl182
wzfl186,011604,曲轴连杆机构,wzfl182
wzfl187,011605,配气机构,wzfl182
wzfl188,011606,供油系,wzfl182
wzfl189,011607,润滑系,wzfl182
wzfl190,011608,冷却系,wzfl182
wzfl191,011609,油门联动机构,wzfl182
wzfl192,011610,点火系,wzfl182
wzfl193,011611,增压器总成,wzfl182
wzfl195,011701,发动机总成,wzfl194
wzfl196,011702,气缸体,wzfl194
wzfl197,011703,气缸盖总成,wzfl194
wzfl198,011704,曲轴连杆机构,wzfl194
wzfl199,011705,配气机构,wzfl194
wzfl200,011706,供油系,wzfl194
wzfl201,011707,润滑系,wzfl194
wzfl202,011708,冷却系,wzfl194
wzfl203,011709,油门联动机构,wzfl194
wzfl204,011710,点火系,wzfl194
wzfl205,011711,增压器总成,wzfl194
wzfl207,011801,发动机总成,wzfl206
wzfl208,011802,气缸体,wzfl206
wzfl209,011803,气缸盖总成,wzfl206
wzfl210,011804,曲轴连杆机构,wzfl206
wzfl211,011805,配气机构,wzfl206
wzfl212,011806,供油系,wzfl206
wzfl213,011807,润滑系,wzfl206
wzfl214,011808,冷却系,wzfl206
